Part;Value;;;;Device;Package;Description;MPN;PROD_ID;VALUE
R6;470R;0603 1% 470 Ohm;0,0034;https://www.aliexpress.com/item/100pcs-bag-0603-1-4-7R-47R-470R-4-7K-47K-470K-5-1R-51R-510R/32815003609.html?spm=a2g0s.9042311.0.0.FvhC2W;RESISTOR0603-RES;0603-RES;Resistor;;;
R7;10K;Resistor 1% 0603 10K;0,0044;aliexpress (seller don't exist anymore);RESISTOR0603-RES;0603-RES;Resistor;;;
R8;10K;Resistor 1% 0603 10K;0,0044;aliexpress (seller don't exist anymore);RESISTOR0603-RES;0603-RES;Resistor;;;
R9;100K;Resistor 1% 0603 100K;0,0044;aliexpress (seller don't exist anymore);RESISTOR0603-RES;0603-RES;Resistor;;;
U1;ATMEGA328P_TQFP;ATMEGA328P-AU;1,9;http://fr.farnell.com/microchip/atmega328p-au/micro-8-bits-avr-32k-flash-32tqfp/dp/1715486?CMP=i-bf9f-00001000;ATMEGA328P_TQFP;TQFP32-08;;;IC-09069;ATMEGA328P_TQFP
U2;RFM95;RFM95 868Mhz 20dBm;8,26;https://www.aliexpress.com/item/NEW-RFM95-20dBm-The-wireless-transceiver-module-RFM95-868MHZ/32613801519.html?spm=a2g0s.9042311.0.0.PeR08B;RFM69HCW;RFM69HCW-XXXS2;;;IC-11997, IC-12053;
U3;FT231XS;FT231XS-R;2,32;http://fr.farnell.com/ftdi/ft231xs/i-f-usb2-0-fs-to-f-l-h-s-uart/dp/2081328?CMP=i-bf9f-00001000;FT231XS;SSOP20_L;FTDI FT231X Full Speed USB to Full-handshake UART;;IC-11524;FT231XS
U4;NCP1117ST50T3G;NCP1117ST50T3G;0,397;http://fr.farnell.com/on-semiconductor/ncp1117st50t3g/regulateur-ldo-15vin-1a-5v-1-3sot223/dp/2112617?CMP=i-bf9f-00001000;V_REG_LM1117SOT223;SOT223;Voltage Regulator LM1117;;VREG-08170;
U5;LP2992-33;LP2992AIM5X-3.3;0,217;https://www.aliexpress.com/item/Free-shipping-10pcs-lot-LP2992AIM5X-3-3-SOT23-5-LP2992AIM5-3-3-original-Product/32518298977.html?spm=a2g0s.9042311.0.0.PeR08B;LP2992-3.3;SOT-23-5;LP2992-x;;;
U6;ATSHA204-TSU; ATSHA204A-STUCZ;1,08;https://www.aliexpress.com/item/Free-Shipping-5-PCS-LOT-ATSHA204A-STUCZ-T-ATSHA204A-STUCZ-ATSHA204A-SOT23-NEW-IN-STOCK/32630759618.html?spm=a2g0s.9042311.0.0.b81fyB;ATSHA204-TSU;SOT23-3;Atmel ATSHA204;;;
X1;SMA -   50 Ohm Connectors;142-0711-821;5,31;http://fr.farnell.com/johnson-cinch-connectivity/142-0711-821/conncetur-jack-sma/dp/1019328?CMP=i-bf9f-00001000;SMACONNECTOR_EDGE_UFL;SMA_EDGELAUNCH_UFL;SMA Connector;;;
XTAL;AMB7;ABM7-8.000MHZ-D2Y-T;0,73;http://fr.farnell.com/abracon/abm7-8-000mhz-d2y-t/quartz-8mhz-18pf-cms/dp/2101337?CMP=i-bf9f-00001000;AMB7;2-SMD_ABM7;ABM7;;;
;Antenna;;;;;;;;;
